frequency,raw
20.0,-4.450984583113806
20.2,-4.442618810251404
20.4,-4.426423506610418
20.61,-4.4033747562365475
20.81,-4.374724360966604
21.02,-4.341810035738688
21.23,-4.305887724620198
21.44,-4.268018200937473
21.66,-4.229017802315881
21.87,-4.189465687850571
22.09,-4.149745859165332
22.31,-4.110100930243231
22.54,-4.0706837702993806
22.76,-4.031596030682191
22.99,-3.9929145227921414
23.22,-3.954705114954458
23.45,-3.9170276996638043
23.69,-3.879933718316789
23.92,-3.843459791718401
24.16,-3.80762192817708
24.4,-3.7724138742609363
24.65,-3.7378118410992047
24.89,-3.7037830229234188
25.14,-3.6702962856630728
25.39,-3.637330954679063
25.65,-3.6048801116222435
25.91,-3.572950551439418
26.16,-3.5415596609891855
26.43,-3.510732754495786
26.69,-3.4805008997163105
26.96,-3.4509001303696234
27.23,-3.4219707549490703
27.5,-3.3937549919651686
27.77,-3.3662937571555216
28.05,-3.3396239578080467
28.33,-3.3137721189501894
28.62,-3.2887497426588896
28.9,-3.2645492972440713
29.19,-3.2411452616214502
29.48,-3.218498981920836
29.78,-3.1965670468952174
30.08,-3.1753078028031987
30.38,-3.1546825130896416
30.68,-3.1346480746398577
30.99,-3.1151475314867
31.3,-3.0960988893081614
31.61,-3.0773903182652362
31.93,-3.058881005427259
32.24,-3.040405949370002
32.57,-3.0217826526314346
32.89,-3.0028175583857903
33.22,-2.983312788776283
33.55,-2.9630742902403524
33.89,-2.9419240941011093
34.23,-2.9197164590017977
34.57,-2.8963570859975007
34.92,-2.8718226074183884
35.27,-2.846175241701756
35.62,-2.8195686972171567
35.97,-2.7922434674438814
36.33,-2.7645119172107635
36.7,-2.7367341799940395
37.06,-2.709287899323363
37.43,-2.682536688983499
37.81,-2.656800809142915
38.19,-2.6323346456752783
38.57,-2.609314964875317
38.95,-2.587839115408405
39.34,-2.5679330910313136
39.74,-2.5495615395297295
40.14,-2.532636501989271
40.54,-2.517024724892426
40.94,-2.502555836201091
41.35,-2.4890329927678305
41.76,-2.476250061136372
42.18,-2.464009315737946
42.6,-2.4521374465305983
43.03,-2.440494136871109
43.46,-2.428974336373762
43.9,-2.4175089411461075
44.33,-2.4060660975736434
44.78,-2.394657279039276
45.23,-2.383342796506904
45.68,-2.37223543646472
46.13,-2.361499034629893
46.6,-2.351342259511673
47.06,-2.342011987325845
47.53,-2.3337854134475764
48.01,-2.3269622533610907
48.49,-2.321853255270238
48.97,-2.318763730567384
49.46,-2.317967242948225
49.96,-2.3196706975686046
50.46,-2.323974724151222
50.96,-2.3308337265553214
51.47,-2.340026182778782
51.99,-2.351142852410083
52.51,-2.363597984741712
53.03,-2.376664044227052
53.56,-2.3895253685053004
54.1,-2.401343830524006
54.64,-2.4113291351178145
55.18,-2.4188072182099356
55.74,-2.4232731754682524
56.29,-2.424424854627212
56.86,-2.4221655639615784
57.42,-2.4165786535328766
58.0,-2.407876041090709
58.58,-2.3963329022415985
59.16,-2.382225483527296
59.76,-2.3657843699736887
60.35,-2.3471777891085557
60.96,-2.326525761707745
61.57,-2.303936553205058
62.18,-2.279552102289603
62.8,-2.2535814366003817
63.43,-2.226313565472207
64.07,-2.1981067150328863
64.71,-2.169364203593248
65.35,-2.140506914240109
66.01,-2.11195090477623
66.67,-2.0840912452768463
67.33,-2.0572885397250786
68.01,-2.03185661903842
68.69,-2.0080499734158748
69.37,-1.986054615302176
70.07,-1.965983941282361
70.77,-1.9478818204388275
71.48,-1.9317280700440205
72.19,-1.917446662963582
72.91,-1.9049151683889969
73.64,-1.8939751136630743
74.38,-1.884445537964112
75.12,-1.8761327210682446
75.87,-1.8688360846289893
76.63,-1.8623457128813155
77.4,-1.8564347430082346
78.17,-1.8508513345093167
78.95,-1.8453180884782907
79.74,-1.8395413494442823
80.54,-1.8332318601581716
81.35,-1.8261328391683318
82.16,-1.818051669966192
82.98,-1.8088864959805335
83.81,-1.7986440093129246
