frequency,raw
20.0,-4.6791790389181305
20.2,-4.6593033540993885
20.4,-4.625667192185575
20.61,-4.583711500632054
20.81,-4.537891316189128
21.02,-4.492175443705751
21.23,-4.447447541736245
21.44,-4.403809014842246
21.66,-4.362270538775235
21.87,-4.320786289688487
22.09,-4.277253765427819
22.31,-4.23121781721598
22.54,-4.184229004971086
22.76,-4.137288245680679
22.99,-4.090809670361962
23.22,-4.045590915235994
23.45,-4.001062225891338
23.69,-3.9574783294631795
23.92,-3.916890764892676
24.16,-3.880827796752427
24.4,-3.848827799300316
24.65,-3.8182815610731615
24.89,-3.785543085396999
25.14,-3.749682948382408
25.39,-3.711728104156801
25.65,-3.672792163483083
25.91,-3.633143019823509
26.16,-3.5924199108396273
26.43,-3.550938599620107
26.69,-3.5098878797159885
26.96,-3.4687544280544644
27.23,-3.4265452855803638
27.5,-3.3862548607917438
27.77,-3.347831127445891
28.05,-3.3095778862089875
28.33,-3.272545520170565
28.62,-3.236147260591135
28.9,-3.2009209270964494
29.19,-3.1690366693584857
29.48,-3.1395317176334174
29.78,-3.1115721365821574
30.08,-3.0845184109630384
30.38,-3.0554025370771694
30.68,-3.023861103970711
30.99,-2.99343239196028
31.3,-2.964330726676263
31.61,-2.9344081079326747
31.93,-2.9034102635702803
32.24,-2.8719715341059198
32.57,-2.8387055882975267
32.89,-2.8031797339075712
33.22,-2.7673888506967623
33.55,-2.732855172705405
33.89,-2.6976122122777837
34.23,-2.6586439171741083
34.57,-2.614768668416625
34.92,-2.5673010495730018
35.27,-2.5173487617626695
35.62,-2.4669709404166564
35.97,-2.41760949457747
36.33,-2.3699829447889185
36.7,-2.325266951186778
37.06,-2.2828181260748917
37.43,-2.242440225613735
37.81,-2.2059791589914965
38.19,-2.1752434099424702
38.57,-2.1495685784673086
38.95,-2.1274189207485183
39.34,-2.1072146322227927
39.74,-2.0876218386111542
40.14,-2.069666316299852
40.54,-2.05380662936912
40.94,-2.0367723260539012
41.35,-2.0168723353557785
41.76,-1.9960226795123837
42.18,-1.9734175595409458
42.6,-1.9474159848268981
43.03,-1.9202202898152747
43.46,-1.8931910838635138
43.9,-1.8679719250388807
44.33,-1.845296694278637
44.78,-1.8222998227387437
45.23,-1.7979678846870115
45.68,-1.7720181767539869
46.13,-1.7456074712779008
46.6,-1.7213194572581239
47.06,-1.6982238550450952
47.53,-1.6742724940670122
48.01,-1.647422187063642
48.49,-1.6192299517675817
48.97,-1.5952485322124537
49.46,-1.5758656984223591
49.96,-1.5583528899709957
50.46,-1.54077831242388
50.96,-1.522209712846526
51.47,-1.505687621165068
51.99,-1.4932322941875364
52.51,-1.482835763320708
53.03,-1.4716195858652565
53.56,-1.459431519524248
54.1,-1.4479342957848784
54.64,-1.4372573359389265
55.18,-1.4269564061817308
55.74,-1.4168637816865994
56.29,-1.4073101020496892
56.86,-1.3984605754640882
57.42,-1.3904004554108351
58.0,-1.3831679057587456
58.58,-1.375355665120188
59.16,-1.3689455878970023
59.76,-1.3639551480940248
60.35,-1.3580649579335147
60.96,-1.353311648339681
61.57,-1.3501495548140463
62.18,-1.3448651919930183
62.8,-1.3381626205095414
63.43,-1.330989283196833
64.07,-1.3212829917387667
64.71,-1.3102423280046116
65.35,-1.2980680824069886
66.01,-1.285489365187171
66.67,-1.2718372019973385
67.33,-1.2564764936601638
68.01,-1.2414168683484494
68.69,-1.2292768168169343
69.37,-1.2186142459486682
70.07,-1.2076103100912294
70.77,-1.1998910588991945
71.48,-1.196048656840996
72.19,-1.1934363669003418
72.91,-1.192075490168906
73.64,-1.1936977271896585
74.38,-1.1968812587565227
75.12,-1.1983693580190318
75.87,-1.1968432463448908
76.63,-1.1929752968144174
77.4,-1.1873020283909932
78.17,-1.18110348381587
78.95,-1.1749077013588143
79.74,-1.1670796307537459
80.54,-1.1572730606268737
81.35,-1.148188463800187
82.16,-1.1389276053731285
82.98,-1.1282616192331183
83.81,-1.1178098394704266
84.65,-1.1085993911007683
85.5,-1.101016751710764
86.35,-1.094723466464383
87.22,-1.0894004623184637
88.09,-1.083814923595418
88.97,-1.0764934239271289
89.86,-1.0691973605944747
90.76,-1.0631102375564085
91.66,-1.0551462979544401
92.58,-1.0446455273194943
93.51,-1.0338552345358565
94.44,-1.024360894161323
95.39,-1.0167670566391487
96.34,-1.011050535884781
97.3,-1.006552032595123
98.28,-1.0001378982677296
99.26,-0.9928141080278143
100.25,-0.9863636927886325
101.25,-0.9800854958231118
102.27,-0.9752134755550231
103.29,-0.9724133402301538
104.32,-0.9712211844441779
105.37,-0.9713397002196564
106.42,-0.9711890907678408
107.48,-0.9719990106308763
108.56,-0.9730541806028534
109.64,-0.9748918986052748
110.74,-0.9786550407582173
111.85,-0.9818086515652935
112.97,-0.9840563755049319
114.1,-0.9882223803603363
115.24,-0.9940953625566646
116.39,-0.9999287101925698
117.55,-1.0050273275761168
118.73,-1.0101974260762112
119.92,-1.015309673291
121.12,-1.0193862582894428
122.33,-1.0241001509694585
123.55,-1.0298741837426504
124.79,-1.0347572039339443
126.03,-1.0383770136153654
127.29,-1.0423052745004282
128.57,-1.0464478266821862
129.85,-1.0492824607760087
131.15,-1.0522871797365185
132.46,-1.0559496024803927
133.79,-1.057362390490515
135.12,-1.057227366982095
136.48,-1.059292859180775
137.84,-1.0633686316025392
139.22,-1.0666092147273054
140.61,-1.0687628949866663
142.02,-1.0701472123940912
143.44,-1.071564090579469
144.87,-1.0740231370304765
146.32,-1.0771732089530015
147.78,-1.081086264243223
149.26,-1.086157788648636
150.75,-1.0896812156992595
152.26,-1.092648187361498
153.78,-1.0975146464208565
155.32,-1.1026049030629024
156.88,-1.105701959419654
158.44,-1.1065213739441315
160.03,-1.1074542619626981
161.63,-1.1108204293583788
163.24,-1.114709526126063
164.88,-1.118596789030589
166.53,-1.1245077177676206
168.19,-1.132973957793967
169.87,-1.1398940697638167
171.57,-1.1437684316677275
173.29,-1.1475892232457263
175.02,-1.1535408695589433
176.77,-1.160908085565996
178.54,-1.169064071864075
180.32,-1.1768566048635987
182.13,-1.1837872433926122
183.95,-1.1917413277414879
185.79,-1.2008500993466693
187.65,-1.2105516572666684
189.52,-1.2207094744595843
191.42,-1.2299532438882763
193.33,-1.238489112262726
195.27,-1.2461473314879121
197.22,-1.2536377489780548
199.19,-1.260982482569989
201.18,-1.2685612448585117
203.19,-1.2771156404068449
205.23,-1.2845041785638058
207.28,-1.2896626910732645
209.35,-1.2936279484404425
211.44,-1.2973279838678304
213.56,-1.3016873913295475
215.69,-1.307470292526816
217.85,-1.313047165789431
220.03,-1.3150386322720957
222.23,-1.3150651601130274
224.45,-1.3175027516868982
226.7,-1.3217707877210902
228.96,-1.3246922779758625
231.25,-1.325017564150029
233.57,-1.322959211534819
235.9,-1.321328021298619
238.26,-1.3231727994501028
240.64,-1.3275172410510532
243.05,-1.3300350170276314
245.48,-1.3314317080703533
247.93,-1.333931704091763
250.41,-1.33633123362855
252.92,-1.3368604866659164
255.45,-1.3363499154933582
258.0,-1.336924480510462
260.58,-1.3379949770047859
263.19,-1.3371001822767508
265.82,-1.3353615183737462
268.48,-1.3365855299895137
271.16,-1.3405285133363438
273.87,-1.3431721574263813
276.61,-1.3418282591589545
279.38,-1.3390903640652538
282.17,-1.3381519813692453
284.99,-1.3379107003480364
287.84,-1.336539986037392
290.72,-1.3324756975840448
293.63,-1.3275987402818894
296.57,-1.3254195928226378
299.53,-1.3235841877127192
302.53,-1.3225450237233465
305.55,-1.322986282390011
308.61,-1.3213535062262385
311.69,-1.31830877280402
314.81,-1.3176740888370586
317.96,-1.3194177552020219
321.14,-1.3197711539351236
324.35,-1.318816899747495
327.59,-1.3180955658395734
330.87,-1.3179513188003953
334.18,-1.3188084727939688
337.52,-1.319796659723043
340.9,-1.3195115899770076
344.3,-1.3171128565163395
347.75,-1.3154840212301055
351.23,-1.3170426589905573
354.74,-1.3199376735719903
358.28,-1.3215570328502895
361.87,-1.322618830689361
365.49,-1.32418162227312
369.14,-1.3257448871670756
372.83,-1.3278689521536269
376.56,-1.331210066141356
380.33,-1.335471484472426
384.13,-1.3380416905496293
387.97,-1.3386730963856595
391.85,-1.3388590623368972
395.77,-1.3394567303841027
399.73,-1.3390423802437887
403.72,-1.3364832726425748
407.76,-1.332344646473546
411.84,-1.3285826217239007
415.96,-1.3257693008474152
420.12,-1.321359636596563
424.32,-1.3134110187461758
428.56,-1.3035472948573326
432.85,-1.2947061894210248
437.18,-1.287502802431831
441.55,-1.280660013746568
445.96,-1.2728371023411582
450.42,-1.2639389669375363
454.93,-1.254848437560297
459.48,-1.2465504229763429
464.07,-1.2395534801504802
468.71,-1.2345442873247314
473.4,-1.2290609254108205
478.13,-1.221844032043946
482.91,-1.2147161752483981
487.74,-1.2075826735722295
492.62,-1.1992682927551166
497.55,-1.1903505368386296
502.52,-1.1810408702811894
507.55,-1.1721717015382904
512.62,-1.1640408908222257
517.75,-1.156123264376623
522.93,-1.1471144075610118
528.16,-1.1358338267581156
533.44,-1.1223308732187491
538.77,-1.1064901219988172
544.16,-1.0901849385490432
549.6,-1.0749301819402481
555.1,-1.0593476804213453
560.65,-1.0394736850507313
566.25,-1.017500663294785
571.92,-0.998657783885913
577.64,-0.9828713373074893
583.41,-0.9664257670302664
589.25,-0.9478172015831882
595.14,-0.9300867010129373
601.09,-0.9135021002076599
607.1,-0.8959623296178619
613.17,-0.8791546227038969
619.3,-0.8631549062053462
625.5,-0.8475141570886098
631.75,-0.8345368449934296
638.07,-0.8225162484178039
644.45,-0.8088902048512506
650.89,-0.7954358344449952
657.4,-0.7857573135722478
663.98,-0.7783185510368401
670.62,-0.7704390714938534
677.32,-0.7653259983882418
684.1,-0.7637244765896667
690.94,-0.7631496900834148
697.85,-0.7635959438613723
704.83,-0.7671555098767328
711.87,-0.7723637971456492
718.99,-0.7773388781393648
726.18,-0.7802936727234362
733.44,-0.7809250809255049
740.78,-0.7811582455701943
748.19,-0.7799627354752242
755.67,-0.7759391900530261
763.23,-0.7673183136971562
770.86,-0.7543771565123149
778.57,-0.7384019122682116
786.35,-0.716611869152675
794.22,-0.6882209396645114
802.16,-0.6556085190215711
810.18,-0.6198580777146733
818.28,-0.5829892431643117
826.46,-0.5475413354291572
834.73,-0.5129168442180149
843.08,-0.47987482505216755
