frequency,raw
20.0,-5.030348519659611
20.2,-4.9792728175772565
20.4,-4.928539023912564
20.61,-4.878147138665534
20.81,-4.828097161836167
21.02,-4.778389093424463
21.23,-4.72902293343042
21.44,-4.67999868185404
21.66,-4.631316338695322
21.87,-4.582975903954268
22.09,-4.5349773776308755
22.31,-4.487320759725145
22.54,-4.440006050237079
22.76,-4.393033249166674
22.99,-4.346402356513932
23.22,-4.300113372278852
23.45,-4.254166296461435
23.69,-4.20856112906168
23.92,-4.163297870079587
24.16,-4.118376519515158
24.4,-4.07379707736839
24.65,-4.0295595436392855
24.89,-3.985663918327843
25.14,-3.9421102014340628
25.39,-3.8988983929579457
25.65,-3.856028492899491
25.91,-3.8135005012586984
26.16,-3.7713144180355687
26.43,-3.729470243230101
26.69,-3.6879679768422964
26.96,-3.6468076188721543
27.23,-3.6059891693196744
27.5,-3.565512628184857
27.77,-3.525377995467702
28.05,-3.48558527116821
28.33,-3.44613445528638
28.62,-3.4070255478222125
28.9,-3.3682585487757075
29.19,-3.3298334581468656
29.48,-3.2917502759356854
29.78,-3.254009002142168
30.08,-3.2166096367663135
30.38,-3.179552179808121
30.68,-3.142836631267591
30.99,-3.106462991144724
31.3,-3.070431259439519
31.61,-3.0347414361519767
31.93,-2.999393521282097
32.24,-2.9643875148298795
32.57,-2.9297234167953246
32.89,-2.895401227178432
33.22,-2.8614209459792024
33.55,-2.827782573197635
33.89,-2.79448610883373
34.23,-2.761531552887488
34.57,-2.7289189053589085
34.92,-2.6966481662479906
35.27,-2.664719335554736
35.62,-2.6331324132791436
35.97,-2.6018873994212135
36.33,-2.5709842939809464
36.7,-2.5404230969583415
37.06,-2.510203808353399
37.43,-2.4803264281661193
37.81,-2.450790956396502
38.19,-2.421597393044547
38.57,-2.392745738110255
38.95,-2.364235991593625
39.34,-2.336068153494657
39.74,-2.3082422238133526
40.14,-2.280758202549329
40.54,-2.2532502377858967
40.94,-2.2265233967918014
41.35,-2.200340847874832
41.76,-2.174562653111795
42.18,-2.149155495546675
42.6,-2.1241234084949987
43.03,-2.099415293302884
43.46,-2.0750873245218346
43.9,-2.0510769557895965
44.33,-2.0273810115481177
44.78,-2.004101584204711
45.23,-1.9810688078071752
45.68,-1.9583571231450891
46.13,-1.9360038419551364
46.6,-1.913891328722161
47.06,-1.8921941713461468
47.53,-1.8707876438973758
48.01,-1.849656121203021
48.49,-1.8287655470086088
48.97,-1.80823521311474
49.46,-1.7880920967790652
49.96,-1.7681750701860899
50.46,-1.7487873477498475
50.96,-1.7297043918262398
51.47,-1.7108864858177661
51.99,-1.6924470906295601
52.51,-1.6742482486021584
53.03,-1.6563783273096164
53.56,-1.6388440211137487
54.1,-1.6215870653036044
54.64,-1.6045561428610824
55.18,-1.5877620913592425
55.74,-1.5712573845756468
56.29,-1.555052046569607
56.86,-1.5390657564170862
57.42,-1.5232671695761022
58.0,-1.507717470130186
58.58,-1.4924505616215846
59.16,-1.4774310312259653
59.76,-1.4626876759027878
60.35,-1.448205333611172
60.96,-1.4341324070989396
61.57,-1.4203587894211451
62.18,-1.406844974494812
62.8,-1.3936331872514944
63.43,-1.380656595395982
64.07,-1.3680055617518385
64.71,-1.3556575948047622
65.35,-1.3436377629095306
66.01,-1.3318304072466733
66.67,-1.3202534986203256
67.33,-1.308824247020863
68.01,-1.2976164831025547
68.69,-1.286519636788505
69.37,-1.2756471661294149
70.07,-1.2649109326195724
70.77,-1.2542912649256672
71.48,-1.243724425672775
72.19,-1.2332269627295764
72.91,-1.2228075699890466
73.64,-1.2124539234315141
74.38,-1.2021308678453346
75.12,-1.1919236138003353
75.87,-1.1818650165478013
76.63,-1.171932799369604
