frequency,raw
20.0,-4.792925645051615
20.2,-4.731463041502725
20.4,-4.670589757548617
20.61,-4.607306926687053
20.81,-4.547641013942548
21.02,-4.485624585400681
21.23,-4.424255181704075
21.44,-4.363531289895356
21.66,-4.300606173735425
21.87,-4.24119814985116
22.09,-4.179646752928978
22.31,-4.118794004047562
22.54,-4.055918792827414
22.76,-3.996485012517209
22.99,-3.935085634062297
23.22,-3.8744342881381915
23.45,-3.814526457743408
23.69,-3.7528015670839485
23.92,-3.694398320671062
24.16,-3.63423268451773
24.4,-3.5748547046319112
24.65,-3.513833774838221
24.89,-3.456045268362495
25.14,-3.396666708740223
25.39,-3.338115633202728
25.65,-3.2780925809308057
25.91,-3.218948587238143
26.16,-3.1629006831889868
26.43,-3.10326474773215
26.69,-3.046708260023775
26.96,-2.9888716309297485
27.23,-2.931937714694749
27.5,-2.8758971003614877
27.77,-2.8207403771189425
28.05,-2.764464363000113
28.33,-2.7091183542372548
28.62,-2.652764997072568
28.9,-2.5992800313228273
29.19,-2.5448319458787956
29.48,-2.4913362454481
29.78,-2.4369860019755634
30.08,-2.3836303458544643
30.38,-2.331256906079265
30.68,-2.2798534172791696
30.99,-2.2277425568217812
31.3,-2.176639179712127
31.61,-2.126520615539217
31.93,-2.075793005266374
32.24,-2.027603127463857
32.57,-1.9773089625453484
32.89,-1.929504283282835
33.22,-1.8811767717586927
33.55,-1.8338111895455749
33.89,-1.785991541670829
34.23,-1.7391431818524978
34.57,-1.6932420822630165
34.92,-1.6469559158566078
35.27,-1.6016244470896035
35.62,-1.557224006536979
35.97,-1.5137317125144008
36.33,-1.4699209204297117
36.7,-1.425845478041141
37.06,-1.383864822440882
37.43,-1.3416236171899405
37.81,-1.2991725457770773
38.19,-1.2576420080725164
38.57,-1.2170089188852309
38.95,-1.1772509664859148
39.34,-1.1373341150544616
39.74,-1.0973041031262085
40.14,-1.058172665904632
40.54,-1.019917103191895
40.94,-0.9825154785056074
41.35,-0.9450428549409962
41.76,-0.9084230520311753
42.18,-0.8717720640188772
42.6,-0.8359714619879028
43.03,-0.8001771066505642
43.46,-0.7652294681212256
43.9,-0.7303232029193877
44.33,-0.6970238325111321
44.78,-0.663014911637934
45.23,-0.6298424796700002
45.68,-0.5974851139608747
46.13,-0.5659221164167875
46.6,-0.5337827634414886
47.06,-0.5031240155376699
47.53,-0.4725919886667612
48.01,-0.4422168529530863
48.49,-0.4126367021598234
48.97,-0.383832233629133
49.46,-0.3552083657717102
49.96,-0.32679357549368804
50.46,-0.299160410379265
50.96,-0.27228975696765445
51.47,-0.24564805441232065
51.99,-0.21926128552176638
52.51,-0.19364004453153683
53.03,-0.1687655034823373
53.56,-0.14416212164005895
54.1,-0.11985354355136348
54.64,-0.09629211072535226
55.18,-0.07345936244677112
55.74,-0.05053153223063071
56.29,-0.0287385874587456
56.86,-0.006892823759406509
57.42,0.013854695702962855
58.0,0.03461482323677445
58.58,0.054652305132600484
59.16,0.07398525022467248
59.76,0.0932620895006151
60.35,0.11151888835358312
60.96,0.12968447459345947
61.57,0.14714635645917146
62.18,0.1639223457389186
62.8,0.18028824538116672
63.43,0.1962285474219673
64.07,0.21172831598582367
64.71,0.22654695471055006
65.35,0.24070184603162334
66.01,0.2546216765025614
66.67,0.2678713213973748
67.33,0.2804680068018435
68.01,0.2927810623083783
68.69,0.3044362714869616
69.37,0.3154506531184471
70.07,0.32613696132387526
70.77,0.33617897356249504
71.48,0.34572348201505076
72.19,0.3546393111833853
72.91,0.3630554585648438
73.64,0.3709625053034423
74.38,0.3783567170975193
75.12,0.3851677012903132
75.87,0.39152202560592075
76.63,0.3974432622245647
77.4,0.4029559428378934
78.17,0.4080224483888658
78.95,0.41274226726010577
79.74,0.41714106246514726
80.54,0.4212452505921559
81.35,0.4250819459185964
82.16,0.42863662636827127
82.98,0.43198562244296623
83.81,0.43515659423533914
84.65,0.43817772208440353
85.5,0.44107765738816007
86.35,0.44385342729779154
87.22,0.4465994922855334
88.09,0.44928173226603585
88.97,0.4519612254048263
89.86,0.4546672822024721
90.76,0.45742945183293937
91.66,0.4602457834349166
92.58,0.4632085144548962
93.51,0.46631674873830453
94.44,0.46956483925572723
95.39,0.4730525837121151
96.34,0.4767361745513835
97.3,0.4806807948045225
98.28,0.48496088445651375
99.26,0.4895186640969853
100.25,0.4944257676367507
101.25,0.4997113933150634
102.27,0.5054628348840716
103.29,0.5115964406252682
104.32,0.5181955694393331
105.37,0.5253591571820158
106.42,0.532979293226527
107.48,0.541150240617291
108.56,0.5499840894348951
109.64,0.5593450306592677
110.74,0.5694341101928766
111.85,0.5801946564806475
112.97,0.5916538545243287
114.1,0.6038112876036281
115.24,0.6165575369289463
116.39,0.6297566261547485
117.55,0.643273450445093
