frequency,raw
20.0,-3.87625878619447
20.2,-3.8389147608480934
20.4,-3.802431331235302
20.61,-3.7650204325878844
20.81,-3.7302179851259063
21.02,-3.6945160232849497
21.23,-3.659647879829027
21.44,-3.6255868920223526
21.66,-3.590741763268822
21.87,-3.5582546220879614
22.09,-3.525005267159996
22.31,-3.4925332062256813
22.54,-3.4593889690293866
22.76,-3.4284296056319645
22.99,-3.396815088211481
23.22,-3.3659442968566067
23.45,-3.3357927824437414
23.69,-3.305071803437993
23.92,-3.2763180619630883
24.16,-3.2470074641471878
24.4,-3.218381609167297
24.65,-3.1892666628990707
24.89,-3.1619692521138267
25.14,-3.1341917088976903
25.39,-3.107062418430026
25.65,-3.0795121711170474
25.91,-3.052615913882072
26.16,-3.027349825058895
26.43,-3.000695889844936
26.69,-2.975629625852873
26.96,-2.9502011644033272
27.23,-2.9253647432554786
27.5,-2.901099757013366
27.77,-2.8773864319138727
28.05,-2.8533572333750907
28.33,-2.8298805934761435
28.62,-2.806127237162295
28.9,-2.7837160861422032
29.19,-2.7610270064064637
29.48,-2.7388506912649335
29.78,-2.716429779620103
30.08,-2.694518572689137
30.38,-2.673098443691253
30.68,-2.652151536820068
30.99,-2.630985364239295
31.3,-2.6102878824745517
31.61,-2.59004068017372
31.93,-2.56959373619471
32.24,-2.5502074491628948
32.57,-2.530007921643521
32.89,-2.5108338933848717
33.22,-2.4914693919109
33.55,-2.4725028032380565
33.89,-2.453360204814775
34.23,-2.434605191965808
34.57,-2.4162212513486923
34.92,-2.3976675614532925
35.27,-2.3794739022674056
35.62,-2.3616245444352653
35.97,-2.3441044545560925
36.33,-2.3264121721851865
36.7,-2.30855988186303
37.06,-2.2914979687303143
37.43,-2.2742640826544873
37.81,-2.2568683373814786
38.19,-2.2397660826491688
38.57,-2.22294337342688
38.95,-2.2063869010707555
39.34,-2.189658247854665
39.74,-2.172764340152971
40.14,-2.1561240891177524
40.54,-2.139724644093612
40.94,-2.1235537536978195
41.35,-2.107203565510673
41.76,-2.091069236247473
42.18,-2.074753262545904
42.6,-2.0586401080807195
43.03,-2.042341789913055
43.46,-2.026232991795094
43.9,-2.00993444859478
44.33,-1.9941764897290202
44.78,-1.9778549764958095
45.23,-1.9616961511999707
45.68,-1.945689844365729
46.13,-1.9298263886557803
46.6,-1.9134004524265005
47.06,-1.8974556237029634
47.53,-1.8812893685051273
48.01,-1.864904272853788
48.49,-1.8486549497009048
48.97,-1.832553742455805
49.46,-1.8162818602199942
49.96,-1.7998613204143197
50.46,-1.783637350919439
50.96,-1.7676205465968808
51.47,-1.7515070498613268
51.99,-1.735320150349682
52.51,-1.7193876431900352
53.03,-1.7037183687057174
53.56,-1.68802709425769
54.1,-1.6723379795692825
54.64,-1.6569575787337814
55.18,-1.6418930030135133
55.74,-1.6266110190936514
56.29,-1.6119457450432717
56.86,-1.597112826329532
57.42,-1.5829080392661712
58.0,-1.5685855943889586
58.58,-1.5546644388491875
59.16,-1.5411488887121902
59.76,-1.5275981620457717
60.35,-1.514704098911426
60.96,-1.5018253496437914
61.57,-1.4894093576833485
62.18,-1.4774585060148997
62.8,-1.4657903833309467
63.43,-1.4544299881804348
64.07,-1.4434024195264301
64.71,-1.4328929431645678
65.35,-1.4229020732710818
66.01,-1.4131423132978127
66.67,-1.4039340239345546
67.33,-1.3952766399661027
68.01,-1.3869321665765704
68.69,-1.379170236864983
69.37,-1.371989230925441
70.07,-1.3652018100231957
70.77,-1.3590255953818016
71.48,-1.3533828036373279
72.19,-1.3483630736114958
72.91,-1.34390559127539
73.64,-1.3400332164066788
74.38,-1.336762843633527
75.12,-1.334119336990438
75.87,-1.3320419684418974
76.63,-1.330517692998986
77.4,-1.3295326519382116
78.17,-1.329074846853129
78.95,-1.3291136877460343
79.74,-1.3296342037944526
80.54,-1.3306207623053274
81.35,-1.3320571093825908
82.16,-1.3339012262082692
82.98,-1.336151830140431
83.81,-1.3387919960135046
84.65,-1.3418043100174413
85.5,-1.3451709059407615
86.35,-1.348828843693277
87.22,-1.352845761796427
88.09,-1.357110921219015
88.97,-1.3616504748321483
89.86,-1.366445610717602
90.76,-1.371477239816095
91.66,-1.3766675546979428
92.58,-1.3821125437149837
93.51,-1.387735631818142
94.44,-1.3934549650554728
95.39,-1.399373677451611
96.34,-1.405347484464743
97.3,-1.4114187214658291
98.28,-1.417631093746125
99.26,-1.4238378930646907
100.25,-1.4300826763793515
101.25,-1.436345625865004
102.27,-1.4426685312471959
103.29,-1.448907459532047
104.32,-1.4551049857582714
105.37,-1.461299757573941
106.42,-1.46735399838578
107.48,-1.4733077640482581
108.56,-1.4791952412273441
109.64,-1.484887936473187
110.74,-1.4904717506505873
111.85,-1.4958735560582133
112.97,-1.5010740390432142
114.1,-1.5060581336527104
115.24,-1.5108271708316494
116.39,-1.51538658974835
117.55,-1.5197418541097327
118.73,-1.5239329837895257
119.92,-1.5279271261469487
121.12,-1.5317300220519041
122.33,-1.5353474082998704
123.55,-1.5387850131656637
124.79,-1.5420742819158224
126.03,-1.5451679180043802
127.29,-1.5481216511282343
128.57,-1.5509369076433095
129.85,-1.5535755776631441
131.15,-1.5560848211162777
132.46,-1.558449279080104
133.79,-1.5606911217181614
135.12,-1.5627825205694308
136.48,-1.5647749682974
137.84,-1.5666288241499835
139.22,-1.5683773052915397
140.61,-1.5700122068934872
142.02,-1.5715498795679128
143.44,-1.5729840497135559
144.87,-1.574320570535572
146.32,-1.5755735173481036
147.78,-1.5767390037712605
149.26,-1.5778298509958844
150.75,-1.5788435403566408
152.26,-1.5797917959685877
153.78,-1.5806732611991159
155.32,-1.5814987133912863
156.88,-1.5822725379443903
158.44,-1.582990383773667
160.03,-1.5836711028912263
161.63,-1.5843106948329626
163.24,-1.5849145963040787
164.88,-1.5854950216088792
166.53,-1.5860496506336526
168.19,-1.5865837815650954
169.87,-1.5871056549221543
171.57,-1.5876201390915865
173.29,-1.5881321665623882
175.02,-1.5886437692005662
176.77,-1.5891604704251174
178.54,-1.5896751016369097
180.32,-1.590175259790679
182.13,-1.5906568835770711
183.95,-1.591104982470126
185.79,-1.5915126286227046
187.65,-1.5918701167281555
189.52,-1.5921663189120159
191.42,-1.5923947001532854
193.33,-1.5925432055724182
195.27,-1.592603690654426
197.22,-1.5925658999187298
199.19,-1.5924208088431826
201.18,-1.592158871982892
203.19,-1.5917705824579051
205.23,-1.59124356076888
207.28,-1.5905735391731388
209.35,-1.589748921300993
211.44,-1.5887604307991798
213.56,-1.5875929619315439
215.69,-1.5862483823235856
217.85,-1.5847049742988777
220.03,-1.5829596201538125
222.23,-1.5810033993512018
224.45,-1.578827496613906
226.7,-1.5764119979955713
228.96,-1.5737697634032088
231.25,-1.570868892986803
233.57,-1.5676980111399113
235.9,-1.5642761525326794
238.26,-1.5605657556711963
240.64,-1.556572923309409
243.05,-1.5522713366818486
245.48,-1.5476694060989191
247.93,-1.5427594438929548
250.41,-1.537512190121993
252.92,-1.531916840164669
255.45,-1.5259866794906267
258.0,-1.5197145564461942
260.58,-1.5130671251766397
263.19,-1.5060339969314143
265.82,-1.4986336202873676
268.48,-1.490829491355069
271.16,-1.4826488931648336
273.87,-1.4740841128741098
276.61,-1.4651626833897993
279.38,-1.4559124629458422
282.17,-1.446396022755324
284.99,-1.4366084107167716
287.84,-1.4265778926855
290.72,-1.4163329183617481
293.63,-1.4059020863363088
296.57,-1.3953141104355935
299.53,-1.3846338707733152
302.53,-1.3738179722986026
305.55,-1.3629671897112956
308.61,-1.3520384549230042
311.69,-1.3411318411012103
314.81,-1.3302052309363968
317.96,-1.319322896524059
321.14,-1.3085134236374072
324.35,-1.297805267312878
327.59,-1.2872267305598957
330.87,-1.2767744916711588
334.18,-1.266509719167697
337.52,-1.2564603438626658
340.9,-1.2466254783285344
344.3,-1.2370908128884341
347.75,-1.2278012164182035
